"","Species","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","Landings","Value","value_euro","FDFVessel","Discards","Country","ID"
"1","BLL",2015,"Q1","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0296194348881743,834.09272400425,92.2106188241179,NA,NA,"NO",1
"2","COD",2015,"Q1","GNS_CRU_71-89_0_0","24<40m","27.4.a",3.62946505205152,58881.403182877,6509.45688467341,NA,NA,"NO",2
"3","COD",2015,"Q1","GNS_DEF_71-89_0_0","24<40m","27.4.a",2.50089144702424,29910.4975923814,3306.66532983295,NA,NA,"NO",3
"4","COD",2015,"Q1","GNS_DEF_90-99_0_0","24<40m","27.4.a",11.4764037061824,302169.378096706,33405.429087347,NA,NA,"NO",4
"5","COD",2015,"Q1","MIS_MIS_0_0_0","24<40m","27.4.a",18.66361257203,396431.982016168,43826.3484758514,NA,NA,"NO",5
"6","COD",2015,"Q1","OTB_DEF_>=120_0_0","24<40m","27.4.a",5.60273964238344,111784.582773379,12358.0091947626,NA,NA,"NO",6
"7","COD",2015,"Q1","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.087486075709433,1284.31233531333,141.983297293559,NA,NA,"NO",7
"8","COD",2015,"Q1","OTB_DEF_32-69_0_0","24<40m","27.4.a",0.567393823921502,14632.1961713871,1617.61855113919,NA,NA,"NO",8
"9","COD",2015,"Q1","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0637911136433797,1419.91756875092,156.974727060551,NA,NA,"NO",9
"10","COD",2015,"Q1","OTB_SPF_70-89_0_0","10<24m","27.3.a.20",0.019,267.5,29.57266,NA,NA,"NO",10
"11","COD",2015,"Q1","PTB_DEF_>=120_0_0","24<40m","27.4.a",40.1436136570984,952543.257491311,105305.562202179,NA,NA,"NO",11
"12","COD",2015,"Q1","PTB_SPF_>=120_0_0","24<40m","27.4.a",14.4679384453884,338507.846177551,37422.7194106206,NA,NA,"NO",12
"13","COD",2015,"Q1","SSC_DEF_>=120_0_0","10<24m","27.4.a",7.79239090222949,192911.564671912,21326.7592976092,NA,NA,"NO",13
"14","COD",2015,"Q2","GNS_CRU_120-219_0_0","10<24m","27.4.a",111.957508584455,2096989.15219042,231826.344752955,NA,NA,"NO",14
"15","COD",2015,"Q2","GNS_CRU_71-89_0_0","24<40m","27.4.a",55.7193331172019,1227700.41233104,135724.735984021,NA,NA,"NO",15
"16","COD",2015,"Q2","GNS_DEF_120-219_0_0","10<24m","27.4.a",20.4721958915567,474057.879797937,52408.0467274215,NA,NA,"NO",16
"17","COD",2015,"Q2","GNS_DEF_120-219_0_0","10<24m","27.4.b",23.5149687964298,564386.032855539,62394.0047042456,NA,NA,"NO",17
"18","COD",2015,"Q2","GNS_DEF_120-219_0_0","24<40m","27.4.a",25.829,0,0,NA,NA,"NO",18
"19","COD",2015,"Q2","GNS_DEF_71-89_0_0","10<24m","27.4.a",5.59420472201021,67817.4262534031,7497.35210716621,NA,NA,"NO",19
"20","COD",2015,"Q2","GNS_DEF_71-89_0_0","24<40m","27.4.a",135.236240473075,3308294.47459874,365738.57075584,NA,NA,"NO",20
"21","COD",2015,"Q2","GNS_DEF_71-89_0_0","24<40m","27.4.b",3.31663626532297,85245.2379542383,9424.03154631694,NA,NA,"NO",21
"22","COD",2015,"Q2","GNS_DEF_90-99_0_0","24<40m","27.4.a",84.6591350170152,1856099.95062428,205195.561741415,NA,NA,"NO",22
"23","COD",2015,"Q2","GNS_DEF_90-99_0_0","24<40m","27.4.b",4.2753495493651,111601.153192163,12337.7306877,NA,NA,"NO",23
"24","COD",2015,"Q2","GNS_SPF_120-219_0_0","10<24m","27.4.a",26.7946115001885,533866.641392493,59020.0249392229,NA,NA,"NO",24
"25","COD",2015,"Q2","LLS_DEF_0_0_0","=40m","27.4.a",114.744834133223,3499458.9977336,386872.191117445,NA,NA,"NO",25
"26","COD",2015,"Q2","LLS_DEF_0_0_0","=40m","27.4.b",16.0520190400182,453803.762326797,50168.913532752,NA,NA,"NO",26
"27","COD",2015,"Q2","LLS_DEF_0_0_0","24<40m","27.6.a",2.28395979510525,30367.5783385394,3357.19652048221,NA,NA,"NO",27
"28","COD",2015,"Q2","MIS_MIS_0_0_0","=40m","27.4.a",3.64178168835666,96907.9956876513,10713.3727392612,NA,NA,"NO",28
"29","COD",2015,"Q2","MIS_MIS_0_0_0","24<40m","27.4.a",84.3611295540819,1184302.57469758,130927.018237967,NA,NA,"NO",29
"30","COD",2015,"Q2","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.0108888888888889,169.722222222222,18.7631311111111,NA,NA,"NO",30
"31","COD",2015,"Q2","PTB_DEF_>=120_0_0","24<40m","27.4.a",43.3727061525697,789454.850481624,87275.8126304445,NA,NA,"NO",31
"32","COD",2015,"Q2","PTB_SPF_>=120_0_0","24<40m","27.4.a",4.71043801813211,90011.0672523601,9950.90350688291,NA,NA,"NO",32
"33","COD",2015,"Q2","SSC_DEF_>=120_0_0","10<24m","27.4.a",26.3854536367698,511685.527789552,56567.8584681906,NA,NA,"NO",33
"34","COD",2015,"Q2","SSC_DEF_>=120_0_0","10<24m","27.4.b",3.00811860381346,58145.9108930151,6428.1467410446,NA,NA,"NO",34
"35","COD",2015,"Q3","GNS_CRU_120-219_0_0","10<24m","27.4.a",232.298769363214,5167524.18489293,571280.133688283,NA,NA,"NO",35
"36","COD",2015,"Q3","GNS_CRU_71-89_0_0","24<40m","27.4.a",65.1826568641437,1483112.4262509,163961.04494689,NA,NA,"NO",36
"37","COD",2015,"Q3","GNS_CRU_90-99_0_0","24<40m","27.4.a",34.9828791225196,914221.86723497,101069.05586656,NA,NA,"NO",37
"38","COD",2015,"Q3","GNS_DEF_120-219_0_0","10<24m","27.4.a",73.414126970523,1759565.93407137,194523.533143458,NA,NA,"NO",38
"39","COD",2015,"Q3","GNS_DEF_120-219_0_0","10<24m","27.4.b",19.1022370373435,481886.583188144,53273.5255446157,NA,NA,"NO",39
"40","COD",2015,"Q3","GNS_DEF_120-219_0_0","24<40m","27.4.a",5.19176646560654,68541.1953508495,7577.36622842711,NA,NA,"NO",40
"41","COD",2015,"Q3","GNS_DEF_71-89_0_0","24<40m","27.4.a",174.388008022449,3102605.31995963,342999.223332177,NA,NA,"NO",41
"42","COD",2015,"Q3","GNS_DEF_71-89_0_0","24<40m","27.4.b",2.44001236372851,57901.7229596853,6401.15127663913,NA,NA,"NO",42
"43","COD",2015,"Q3","GNS_DEF_90-99_0_0","24<40m","27.4.a",201.678877721442,4805608.15632865,531269.592898444,NA,NA,"NO",43
"44","COD",2015,"Q3","GNS_DEF_90-99_0_0","24<40m","27.4.b",24.0576358959482,636741.856428691,70393.0857119046,NA,NA,"NO",44
"45","COD",2015,"Q3","GNS_SPF_120-219_0_0","10<24m","27.4.a",7.10704585952758,144456.293508579,15969.9321599604,NA,NA,"NO",45
"46","COD",2015,"Q3","GNS_SPF_71-89_0_0","24<40m","27.4.a",23.9923601519012,419802.896260595,46410.0497874012,NA,NA,"NO",46
"47","COD",2015,"Q3","LLS_DEF_0_0_0","=40m","27.4.a",158.331004913783,2447274.63224713,270551.105144185,NA,NA,"NO",47
