"","Species","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","Landings","Value","value_euro","FDFVessel","Discards","Country","ID"
"1","ANF",2015,"Q1","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.003,NA,NA,NA,NA,"NO",1
"2","ANF",2015,"Q2","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.002,NA,NA,NA,NA,"NO",2
"3","ANF",2015,"Q3","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.001,NA,NA,NA,NA,"NO",3
"4","ANF",2017,"Q1","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.014,NA,NA,NA,NA,"NO",4
"5","BLL",2015,"Q1","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.0338810344896148,1490.47264505451,164.774731856066,NA,NA,"NO",5
"6","BLL",2015,"Q1","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0455845131480615,1040.94811886509,115.078896436774,NA,NA,"NO",6
"7","BLL",2015,"Q1","OTB_SPF_70-89_0_0","10<24m","27.3.a.20",0.0656755578549973,1640.50184599581,181.360760078529,NA,NA,"NO",7
"8","BLL",2015,"Q2","MIS_MIS_0_0_0","24<40m","27.4.b",0.370834473324213,26791.5669439125,2961.86130878341,NA,NA,"NO",8
"9","BLL",2015,"Q2","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.00520979020979021,234.440559440559,25.9178727272727,NA,NA,"NO",9
"10","BLL",2015,"Q2","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0161406802260614,365.528005315215,40.4098520436077,NA,NA,"NO",10
"11","BLL",2015,"Q3","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0018974358974359,42.6923076923077,4.71972,NA,NA,"NO",11
"12","BLL",2015,"Q3","OTB_DEF_90-99_0_0","10<24m","27.3.a.20",0.00126086956521739,25.2173913043478,2.78783304347826,NA,NA,"NO",12
"13","BLL",2015,"Q4","OTB_DEF_>=120_0_0","24<40m","27.3.a.20",0.599030987030987,31738.1398453124,3508.71483617897,NA,NA,"NO",13
"14","BLL",2015,"Q4","OTB_SPF_>=120_0_0","24<40m","27.3.a.20",0.009,344.25,38.057526,NA,NA,"NO",14
"15","BLL",2016,"Q1","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.0437334536673013,1819.2631270098,201.123177217187,NA,NA,"NO",15
"16","BLL",2016,"Q1","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0370765550239235,535.514377990431,59.2021855155981,NA,NA,"NO",16
"17","BLL",2016,"Q2","OTB_DEF_>=120_0_0","10<24m","27.4.a",0.0258363636363637,1178.91327272727,130.331220126545,NA,NA,"NO",17
"18","BLL",2016,"Q3","PTB_DEF_>=120_0_0","10<24m","27.3.a.20",0.00693333333333333,241.765333333333,26.7276411306667,NA,NA,"NO",18
"19","BLL",2016,"Q3","PTB_DEF_>=120_0_0","10<24m","27.4.a",0.003,133.26,14.73215952,NA,NA,"NO",19
"20","BLL",2016,"Q4","GNS_DEF_120-219_0_0","24<40m","27.4.a",0.0018,68.4,7.5617568,NA,NA,"NO",20
"21","BLL",2016,"Q4","GNS_DEF_120-219_0_0","24<40m","27.4.b",0.003,186,20.562672,NA,NA,"NO",21
"22","BLL",2016,"Q4","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.003,90.212421852861,9.97316366067749,NA,NA,"NO",22
"23","BLL",2017,"Q1","GNS_DEF_71-89_0_0","24<40m","27.4.a",0.002857143,262.8571,29.05938,NA,NA,"NO",23
"24","BLL",2017,"Q1","GNS_DEF_90-99_0_0","24<40m","27.4.a",0.002,120,13.26624,NA,NA,"NO",24
"25","BLL",2017,"Q1","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.0118947368,523.80428,57.907611,NA,NA,"NO",25
"26","BLL",2017,"Q1","PTB_CRU_>=120_0_0","10<24m","27.3.a.20",0.01095652,667.9096,73.83874,NA,NA,"NO",26
"27","BLL",2017,"Q1","PTB_DEF_>=120_0_0","10<24m","27.4.a",0.13142799,5761.8022,636.97888,NA,NA,"NO",27
"28","BLL",2017,"Q1","PTB_DEF_>=120_0_0","10<24m","27.4.b",0.077,4169.55,460.95212,NA,NA,"NO",28
"29","BLL",2017,"Q2","GNS_DEF_71-89_0_0","24<40m","27.4.a",0.02946256,1335.8464,147.6805,NA,NA,"NO",29
"30","BLL",2017,"Q2","GNS_DEF_71-89_0_0","24<40m","27.4.b",0.10460877,5103.3562,564.18624,NA,NA,"NO",30
"31","BLL",2017,"Q2","GNS_SPF_71-89_0_0","24<40m","27.4.a",0.003888889,192.5,21.28126,NA,NA,"NO",31
"32","BLL",2017,"Q2","OTB_DEF_>=120_0_0","24<40m","27.4.a",0.0550000016,1466.66642,162.142921,NA,NA,"NO",32
"33","BLL",2017,"Q2","OTB_DEF_16-31_0_0","≥40m","27.4.a",0.003,120,13.26624,NA,NA,"NO",33
