"","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","KWdays","DaysatSea","NoVessels","FDFVessel","Country","ID"
"1",2015,"Q2","DRB_CRU_>0_0_0",NA,"27.4.a",NA,4.82510416666667,1,NA,"NO",1
"2",2015,"Q2","FPO_DEF_>0_0_0","10<24m","27.4.a",13725.0242558333,31.1013888888889,1,NA,"NO",2
"3",2015,"Q2","GNS_CRU_>=220_0_0","24<40m","27.4.a",2199.601696875,3.02083333333333,1,NA,"NO",3
"4",2015,"Q2","GNS_CRU_120-219_0_0","10<24m","27.4.a",64398.1155672653,121.270138888889,1,NA,"NO",4
"5",2015,"Q2","GNS_CRU_71-89_0_0","24<40m","27.4.a",367674.417810417,461.092361111111,2,NA,"NO",5
"6",2015,"Q2","GNS_CRU_90-99_0_0","24<40m","27.4.a",11786.831161875,16.1875,1,NA,"NO",6
"7",2015,"Q2","GNS_DEF_>=220_0_0","24<40m","27.4.a",4513.51219666667,6.19722222222222,2,NA,"NO",7
"8",2015,"Q2","GNS_DEF_120-219_0_0","=40m","27.4.a",15619.3836524444,11.2291666666667,3,NA,"NO",8
"9",2015,"Q2","GNS_DEF_120-219_0_0","10<24m","27.3.a.20",3660.82368933333,10.3694444444444,1,NA,"NO",9
"10",2015,"Q2","GNS_DEF_120-219_0_0","10<24m","27.4.a",146144.720838129,361.959722222222,2,NA,"NO",10
"11",2015,"Q2","GNS_DEF_120-219_0_0","10<24m","27.4.b",34061.2038563333,96.4798611111111,1,NA,"NO",11
"12",2015,"Q2","GNS_DEF_120-219_0_0","24<40m","27.4.a",231024.694862687,391.056944444444,3,NA,"NO",12
"13",2015,"Q2","GNS_DEF_31-49_0_0","24<40m","27.4.a",2.298434375,0.00208333333333333,1,NA,"NO",13
"14",2015,"Q2","GNS_DEF_71-89_0_0","=40m","27.4.a",395.616739888889,0.352777777777778,3,NA,"NO",14
"15",2015,"Q2","GNS_DEF_71-89_0_0","10<24m","27.4.a",1.90077117724537,0.00630324074074074,1,NA,"NO",15
"16",2015,"Q2","GNS_DEF_71-89_0_0","24<40m","27.4.a",282242.804689675,359.65525462963,5,NA,"NO",16
"17",2015,"Q2","GNS_DEF_71-89_0_0","24<40m","27.4.b",16506.62018225,22.6694444444444,1,NA,"NO",17
"18",2015,"Q2","GNS_DEF_90-99_0_0","24<40m","27.4.a",287963.89391049,495.199305555556,2,NA,"NO",18
"19",2015,"Q2","GNS_DEF_90-99_0_0","24<40m","27.4.b",39748.572457,54.5888888888889,1,NA,"NO",19
"20",2015,"Q2","GNS_SPF_120-219_0_0","10<24m","27.4.a",14260.33268635,37.1201388888889,2,NA,"NO",20
"21",2015,"Q2","GNS_SPF_120-219_0_0","24<40m","27.4.a",6225.59042444444,10.5805555555556,1,NA,"NO",21
"22",2015,"Q2","GNS_SPF_71-89_0_0","24<40m","27.4.a",26901.4888408333,30.4798611111111,1,NA,"NO",22
"23",2015,"Q2","LLS_DEF_0_0_0","=40m","27.4.a",367299.498754129,301.966469714506,9,NA,"NO",23
"24",2015,"Q2","LLS_DEF_0_0_0","=40m","27.4.b",8270.89056027778,6.24791666666667,2,NA,"NO",24
"25",2015,"Q2","LLS_DEF_0_0_0","=40m","27.6.a",146622.017778171,133.884023919753,5,NA,"NO",25
"26",2015,"Q2","LLS_DEF_0_0_0","10<24m","27.3.a.20",320.5396579375,1.1875,1,NA,"NO",26
"27",2015,"Q2","LLS_DEF_0_0_0","10<24m","27.4.a",17056.9368784722,23.1909722222222,1,NA,"NO",27
"28",2015,"Q2","LLS_DEF_0_0_0","24<40m","27.4.a",90771.6205005574,161.098460648148,5,NA,"NO",28
"29",2015,"Q2","LLS_DEF_0_0_0","24<40m","27.4.b",0,0,1,NA,"NO",29
"30",2015,"Q2","LLS_DEF_0_0_0","24<40m","27.6.a",104038.579375766,185.023981481481,5,NA,"NO",30
"31",2015,"Q2","LTL_DEF_0_0_0","10<24m","27.4.a",22.2307942368297,0.0575910493827161,4,NA,"NO",31
"32",2015,"Q2","MIS_MIS_0_0_0","=40m","27.3.a.20",4139.61662639645,0.698020061728395,7,NA,"NO",32
"33",2015,"Q2","MIS_MIS_0_0_0","=40m","27.4.a",175138.724405537,77.6968358410494,95,NA,"NO",33
"34",2015,"Q2","MIS_MIS_0_0_0","=40m","27.4.b",4572.30194837068,1.10156365740741,29,NA,"NO",34
"35",2015,"Q2","MIS_MIS_0_0_0","=40m","27.4.c",2257.82528744098,0.505208333333333,12,NA,"NO",35
"36",2015,"Q2","MIS_MIS_0_0_0","=40m","27.6.a",0.216308212847222,8.91203703703704e-05,1,NA,"NO",36
"37",2015,"Q2","MIS_MIS_0_0_0","10<24m","27.3.a.20",18.4381256834491,0.0402546296296296,2,NA,"NO",37
"38",2015,"Q2","MIS_MIS_0_0_0","10<24m","27.4.a",9775.95698320435,17.2204394290123,9,NA,"NO",38
"39",2015,"Q2","MIS_MIS_0_0_0","24<40m","27.3.a.20",268.385628152778,0.388194444444444,1,NA,"NO",39
"40",2015,"Q2","MIS_MIS_0_0_0","24<40m","27.4.a",364278.848645292,543.003524305556,48,NA,"NO",40
"41",2015,"Q2","MIS_MIS_0_0_0","24<40m","27.4.b",3497.48399479885,5.05686246141975,8,NA,"NO",41
"42",2015,"Q2","MIS_MIS_0_0_0",NA,"27.4.a",NA,0.0835532407407407,1,NA,"NO",42
"43",2015,"Q2","OTB_CRU_<16_0_0","=40m","27.4.a",8558.88055674132,3.11060185185185,2,NA,"NO",43
"44",2015,"Q2","OTB_CRU_>=120_0_0","=40m","27.4.a",15122.1356351974,4.1072494212963,9,NA,"NO",44
"45",2015,"Q2","OTB_CRU_>=120_0_0","24<40m","27.4.a",119988.991804236,160.739525462963,6,NA,"NO",45
"46",2015,"Q2","OTB_CRU_16-31_0_0","=40m","27.4.a",7388.46350440191,4.22019675925926,5,NA,"NO",46
"47",2015,"Q2","OTB_CRU_16-31_0_0","10<24m","27.3.a.20",250.62128425,0.946527777777778,1,NA,"NO",47
"48",2015,"Q2","OTB_CRU_16-31_0_0","24<40m","27.4.a",169123.090191044,143.748981481481,2,NA,"NO",48
"49",2015,"Q2","OTB_CRU_32-69_0_0","=40m","27.4.a",5915.63871727338,1.95105324074074,2,NA,"NO",49
"50",2015,"Q2","OTB_CRU_32-69_0_0","10<24m","27.3.a.20",23177.0023500365,65.5375462962963,5,NA,"NO",50
